source_text,translated_text,context
"If the account is frozen, entries are allowed to restricted users.","Nếu tài khoản bị khoá, chỉ người dùng được hạn chế mới được nhập bút toán.",
"If the BOM results in Scrap material, the Scrap Warehouse needs to be selected.","Nếu BOM tạo ra phế liệu, cần chọn Kho phế liệu.",
"If the item is transacting as a Zero Valuation Rate item in this entry, please enable 'Allow Zero Valuation Rate' in the {0} Item table.","Nếu mặt hàng đang giao dịch với Giá định giá bằng 0 trong bút toán này, vui lòng bật 'Cho phép giá định giá bằng 0' trong bảng Mặt hàng {0}.",
"If the reorder check is set at the Group warehouse level, the available quantity becomes the sum of the projected quantities of all its child warehouses.","Nếu kiểm tra đặt hàng lại được đặt ở cấp kho Nhóm, số lượng có sẵn sẽ là tổng số lượng dự kiến của tất cả kho con.",
"If the selected BOM has Operations mentioned in it, the system will fetch all Operations from BOM, these values can be changed.","Nếu BOM được chọn có các Thao tác, hệ thống sẽ lấy tất cả Thao tác từ BOM, các giá trị có thể thay đổi.",
"If there is no assigned timeslot, then communication will be handled by this group","Nếu không có khung giờ được phân công, liên lạc sẽ do nhóm này xử lý",
"If there is no title column, use the code column for the title.","Nếu không có cột tiêu đề, hãy dùng cột mã làm tiêu đề.",
"If this checkbox is checked, paid amount will be splitted and allocated as per the amounts in payment schedule against each payment term","Nếu chọn ô này, Số tiền đã trả sẽ được chia và phân bổ theo số tiền trong lịch thanh toán theo từng điều khoản thanh toán",
If this is checked subsequent new invoices will be created on calendar  month and quarter start dates irrespective of current invoice start date,"Nếu chọn ô này, các hoá đơn mới tiếp theo sẽ được tạo vào ngày bắt đầu tháng và quý theo lịch bất kể ngày bắt đầu hoá đơn hiện tại",
If this is unchecked Journal Entries will be saved in a Draft state and will have to be submitted manually,"Nếu bỏ chọn, Bút toán sẽ được lưu ở trạng thái Bản nháp và phải nộp thủ công",
"If this is unchecked, direct GL entries will be created to book deferred revenue or expense","Nếu bỏ chọn, các bút toán sổ cái trực tiếp sẽ được tạo để hạch toán doanh thu hoặc chi phí hoãn lại",
If this is undesirable please cancel the corresponding Payment Entry.,"Nếu không mong muốn điều này, vui lòng huỷ Bút toán thanh toán tương ứng.",
"If this item has variants, then it cannot be selected in sales orders etc.","Nếu mặt hàng này có biến thể, không thể chọn trong đơn bán hàng, v.v.",
"If this option is configured 'Yes', ERPNext will prevent you from creating a Purchase Invoice or Receipt without creating a Purchase Order first. This configuration can be overridden for a particular supplier by enabling the 'Allow Purchase Invoice Creation Without Purchase Order' checkbox in the Supplier master.","Nếu tuỳ chọn này được cấu hình 'Có', ERPNext sẽ ngăn bạn tạo Hoá đơn mua hàng hoặc Phiếu nhập hàng mà không tạo Đơn mua hàng trước. Cấu hình này có thể ghi đè cho nhà cung cấp cụ thể bằng cách bật ô 'Cho phép tạo Hoá đơn mua hàng không cần Đơn mua hàng' trong Nhà cung cấp.",
"If this option is configured 'Yes', ERPNext will prevent you from creating a Purchase Invoice without creating a Purchase Receipt first. This configuration can be overridden for a particular supplier by enabling the 'Allow Purchase Invoice Creation Without Purchase Receipt' checkbox in the Supplier master.","Nếu tuỳ chọn này được cấu hình 'Có', ERPNext sẽ ngăn bạn tạo Hoá đơn mua hàng mà không tạo Phiếu nhập hàng trước. Cấu hình này có thể ghi đè cho nhà cung cấp cụ thể bằng cách bật ô 'Cho phép tạo Hoá đơn mua hàng không cần Phiếu nhập hàng' trong Nhà cung cấp.",
"If ticked, multiple materials can be used for a single Work Order. This is useful if one or more time consuming products are being manufactured.","Nếu chọn, có thể dùng nhiều vật tư cho một Lệnh sản xuất. Hữu ích khi sản xuất một hoặc nhiều sản phẩm tốn thời gian.",
"If ticked, the BOM cost will be automatically updated based on Valuation Rate / Price List Rate / last purchase rate of raw materials.","Nếu chọn, chi phí BOM sẽ tự động cập nhật dựa trên Giá định giá / Giá theo Bảng giá / Đơn giá mua lần cuối của nguyên liệu thô.",
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Nếu tìm thấy hai hoặc nhiều Quy tắc giá theo các điều kiện trên, Mức ưu tiên sẽ áp dụng. Mức ưu tiên là số từ 0 đến 20, mặc định là 0 (trống). Số càng cao thì càng được ưu tiên nếu có nhiều Quy tắc giá cùng điều kiện.",
"If unlimited expiry for the Loyalty Points, keep the Expiry Duration empty or 0.","Nếu Điểm thưởng không giới hạn thời hạn, hãy để trống hoặc đặt Thời hạn hiệu lực là 0.",
"If yes, then this warehouse will be used to store rejected materials","Nếu có, kho này sẽ được dùng để lưu trữ vật tư bị từ chối",
"If you {0} {1} quantities of the item {2}, the scheme {3} will be applied on the item.","Nếu bạn {0} {1} số lượng của mặt hàng {2}, chương trình {3} sẽ được áp dụng cho mặt hàng.",
"If you {0} {1} worth item {2}, the scheme {3} will be applied on the item.","Nếu bạn {0} {1} giá trị mặt hàng {2}, chương trình {3} sẽ được áp dụng cho mặt hàng.",
"If you are maintaining stock of this Item in your Inventory, ERPNext will make a stock ledger entry for each transaction of this item.","Nếu bạn quản lý tồn kho mặt hàng này, ERPNext sẽ tạo bút toán sổ cái kho cho mỗi giao dịch của mặt hàng này.",
"If you need to reconcile particular transactions against each other, then please select accordingly. If not, all the transactions will be allocated in FIFO order.","Nếu cần đối soát các giao dịch cụ thể với nhau, hãy chọn tương ứng. Nếu không, tất cả giao dịch sẽ được phân bổ theo thứ tự FIFO.",
"If you still want to proceed, please disable 'Skip Available Sub Assembly Items' checkbox.","Nếu bạn vẫn muốn tiếp tục, hãy tắt ô 'Bỏ qua các mặt hàng cụm lắp ráp con có sẵn'.",
"If you still want to proceed, please enable {0}.","Nếu vẫn muốn tiếp tục, vui lòng bật {0}.",
"If you want to run operations in parallel, keep the same sequence ID for them.","Nếu muốn chạy các thao tác song song, hãy giữ cùng ID chuỗi cho chúng.",
Ignore,Bỏ qua,
Ignore Account Closing Balance,Bỏ qua Số dư đóng sổ tài khoản,
Ignore Closing Balance,Bỏ qua số dư cuối kỳ,
Ignore Default Payment Terms Template,Bỏ qua Mẫu điều khoản thanh toán mặc định,
Ignore Employee Time Overlap,Bỏ qua trùng giờ nhân viên,
Ignore Empty Stock,Bỏ qua tồn kho trống,
Ignore Exchange Rate Revaluation and Gain / Loss Journals,Bỏ qua bút toán Đánh giá lại tỷ giá và Lãi/Lỗ,
Ignore Existing Ordered Qty,Bỏ qua số lượng đã đặt hàng hiện có,
Ignore Existing Projected Quantity,Bỏ qua Số lượng dự kiến hiện có,
Ignore Is Opening check for reporting,Bỏ qua kiểm tra Là đầu kỳ cho báo cáo,
Ignore Pricing Rule,Bỏ qua quy tắc giá,
Ignore Pricing Rule is enabled. Cannot apply coupon code.,Bỏ qua quy tắc giá đang bật. Không thể áp mã phiếu giảm giá.,
Ignore System Generated Credit / Debit Notes,Bỏ qua Hoá đơn điều chỉnh giảm/tăng do hệ thống tạo,
Ignore Tax Withholding Threshold,Bỏ qua ngưỡng khấu trừ thuế,
Ignore User Time Overlap,Bỏ qua trùng giờ người dùng,
Ignore Voucher Type filter and Select Vouchers Manually,Bỏ qua bộ lọc Loại chứng từ và chọn chứng từ thủ công,
Ignore Workstation Time Overlap,Bỏ qua trùng giờ máy trạm,
Ignores legacy Is Opening field in GL Entry that allows adding opening balance post the system is in use while generating reports,Bỏ qua trường 'Là đầu kỳ' cũ trong Bút toán sổ cái cho phép thêm số dư đầu kỳ khi hệ thống đang được sử dụng trong quá trình tạo báo cáo,
image,ảnh,
"Image in the description has been removed. To disable this behavior, uncheck ""{0}"" in {1}.","Hình ảnh trong mô tả đã được xoá. Để tắt hành vi này, bỏ chọn ""{0}"" trong {1}.",
Impairment,Suy giảm giá trị,
Implementation Partner,Đối tác triển khai,
Import Chart of Accounts from a csv file,Nhập Hệ thống tài khoản từ tệp CSV,
Import completed. {0} common codes created.,Nhập hoàn tất. Đã tạo {0} mã chung.,
Import Data,Nhập dữ liệu,
Import Employees,Nhập nhân viên,
Import Genericode File,Nhập tệp Genericode,
Import in Bulk,Nhập hàng loạt,
Import Invoices,Nhập hoá đơn,
Import MT940 Fromat,Nhập định dạng MT940,
Import Successful,Nhập thành công,
Import Summary,Tóm tắt nhập liệu,
Import Supplier Invoice,Nhập Hoá đơn nhà cung cấp,
Import Using CSV file,Nhập bằng tệp CSV,
IMPORTANT: Create a backup before proceeding!,QUAN TRỌNG: Tạo bản sao lưu trước khi tiếp tục!,
Imported {0} DocTypes,Đã nhập {0} DocType,
Importing Common Codes,Đang nhập mã chung,
In House,Tự sản xuất,
In Maintenance,Đang bảo trì,
In mins,Tính bằng phút,
In Mins,Tính bằng phút,
In minutes,Tính bằng phút,
In Party Currency,Theo tiền tệ đối tác,
In Percentage,Tính theo phần trăm,
In Process,Đang xử lý,
In Production,Đang sản xuất,
In Qty,SL nhập,
"In row {0} of Appointment Booking Slots: ""To Time"" must be later than ""From Time"".","Trong dòng {0} của Khung giờ đặt lịch hẹn: ""Đến giờ"" phải sau ""Từ giờ"".",
In stock,Còn hàng,
In Stock,Còn hàng,
In Stock Qty,SL còn hàng,
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","Trong chương trình nhiều bậc, khách hàng sẽ được tự động xếp vào bậc phù hợp theo mức chi tiêu",
"In this section, you can define Company-wide transaction-related defaults for this Item. Eg. Default Warehouse, Default Price List, Supplier, etc.","Trong phần này, bạn có thể đặt giá trị mặc định liên quan đến giao dịch toàn Công ty cho Mặt hàng này. Vd. Kho mặc định, Bảng giá mặc định, Nhà cung cấp...",
In Transit,Đang vận chuyển,
In Transit Transfer,Chuyển kho trung chuyển,
In Transit Warehouse,Kho trung chuyển,
In Value,Giá trị nhập,
In Words,Bằng chữ,
In Words (Company Currency),Bằng chữ (Tệ CT),
In Words (Export) will be visible once you save the Delivery Note.,Số tiền bằng chữ (Xuất khẩu) sẽ hiển thị sau khi bạn lưu Phiếu giao hàng.,
In Words will be visible once you save the Delivery Note.,Số tiền bằng chữ sẽ hiển thị sau khi bạn lưu Phiếu giao hàng.,
In Words will be visible once you save the Sales Invoice.,Số tiền bằng chữ sẽ hiển thị sau khi bạn lưu Hoá đơn bán hàng.,
In Words will be visible once you save the Sales Order.,Số tiền bằng chữ sẽ hiển thị sau khi bạn lưu Đơn bán hàng.,
Inactive Status,Trạng thái không hoạt động,
Incentives,Tiền thưởng,
Inch,Inch,
Inch Pound-Force,Inch Pound-Lực,
Inch/Minute,Inch/Phút,
Inch/Second,Inch/Giây,
Inches Of Mercury,Inch thuỷ ngân,
Include Account Currency,Bao gồm tiền tệ tài khoản,
Include Ageing Summary,Bao gồm tóm tắt tuổi nợ,
Include Closed Orders,Bao gồm các đơn đã đóng,
Include Default FB Assets,Bao gồm tài sản FB mặc định,
Include Default FB Entries,Bao gồm bút toán FB mặc định,
Include Expired,Bao gồm đã hết hạn,
Include Expired Batches,Bao gồm lô đã hết hạn,
Include Exploded Items,Bao gồm mặt hàng đã bung BOM,
Include in Charts,Đưa vào biểu đồ,
Include in gross,Bao gồm trong tổng gộp,
Include Item In Manufacturing,Bao gồm mặt hàng trong sản xuất,
Include Non Stock Items,Bao gồm mặt hàng không quản lý kho,
Include Payment,Bao gồm thanh toán,
Include Payment (POS),Bao gồm thanh toán (POS),
Include POS Transactions,Bao gồm giao dịch POS,
Include Reconciled Entries,Bao gồm bút toán đã đối soát,
Include Returned Invoices (Stand-alone),Bao gồm hoá đơn trả lại (độc lập),
Include Safety Stock in Required Qty Calculation,Tính tồn kho an toàn vào tính SL yêu cầu,
Include Sub-assembly Raw Materials,Bao gồm nguyên vật liệu cụm lắp ráp con,
Include Subcontracted Items,Bao gồm mặt hàng gia công ngoài,
Include Timesheets in Draft Status,Bao gồm Bảng chấm công trạng thái Bản nháp,
Include UOM,Bao gồm ĐVT,
Include Zero Stock Items,Bao gồm mặt hàng tồn kho bằng 0,
Included Fee,Phí đã bao gồm,
Included fee is bigger than the withdrawal itself.,Phí đã bao gồm lớn hơn chính số tiền rút.,
Included in Gross Profit,Bao gồm trong lợi nhuận gộp,
Including items for sub assemblies,Bao gồm mặt hàng cho cụm lắp ráp con,
Income,Thu nhập,
Income Account,Tài khoản thu nhập,
Incoming Bills,Hoá đơn đầu vào,
Incoming call from {0},Cuộc gọi đến từ {0},
Incoming Call Handling Schedule,Lịch xử lý cuộc gọi đến,
Incoming Call Settings,Cài đặt cuộc gọi đến,
Incoming Payment,Khoản thu,
Incoming Rate,Đơn giá nhập,
Incoming Rate (Costing),Đơn giá nhập (Định giá),
Incompatible Setting Detected,Phát hiện cài đặt không tương thích,
Incorrect Account,Tài khoản không đúng,
Incorrect Batch Consumed,Tiêu hao lô không đúng,
Incorrect Check in (group) Warehouse for Reorder,Cài đặt kiểm tra không đúng ở Kho (nhóm) cho đặt hàng lại,
Incorrect Company,Công ty không đúng,
Incorrect Component Quantity,Số lượng thành phần không đúng,
Incorrect Date,Ngày không đúng,
Incorrect Invoice,Hoá đơn không đúng,
Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.,Số lượng Bút toán sổ cái không đúng. Có thể bạn đã chọn sai Tài khoản trong giao dịch.,
Incorrect Payment Type,Loại thanh toán không đúng,
Incorrect Reference Document (Purchase Receipt Item),Tài liệu tham chiếu không chính xác (Mặt hàng Phiếu nhập hàng),
Incorrect Serial Number Consumed,Số sê-ri tiêu hao không đúng,
Incorrect Type of Transaction,Loại giao dịch không đúng,
Incorrect Warehouse,Kho không đúng,
Incoterm,Incoterm,
Increase In Asset Life (Months),Tăng tuổi thọ tài sản (tháng),
Increase In Asset Life(Months),Tăng tuổi thọ tài sản (tháng),
Increment,Mức tăng,
Increment cannot be 0,Mức tăng không được bằng 0,
Increment for Attribute {0} cannot be 0,Mức tăng cho thuộc tính {0} không được bằng 0,
Indent Level,Cấp thụt lề,
"Indentation level: 0 = Main heading, 1 = Sub-category, 2 = Individual accounts, etc.","Cấp thụt lề: 0 = Tiêu đề chính, 1 = Danh mục phụ, 2 = Tài khoản riêng lẻ, v.v.",
Indicates that the package is a part of this delivery (Only Draft),Cho biết kiện hàng là một phần của lần giao này (chỉ ở Bản nháp),
Indirect Expense,Chi phí gián tiếp,
Indirect Expenses,Chi phí gián tiếp,
Indirect Income,Thu nhập gián tiếp,
Individual,Cá nhân,
Individual GL Entry cannot be cancelled.,Bút toán sổ cái đơn lẻ không thể bị huỷ.,
Individual Stock Ledger Entry cannot be cancelled.,Bút toán sổ cái tồn kho đơn lẻ không thể bị huỷ.,
Industry,Ngành,
Industry Type,Loại ngành,
Initial Email Notification Sent,Đã gửi thông báo email ban đầu,
Initialize Summary Table,Khởi tạo bảng tóm tắt,
Initiated,Đã khởi tạo,
Inspected By,Người kiểm tra,
Inspection Rejected,Kiểm tra bị từ chối,
Inspection Required,Yêu cầu kiểm tra,
Inspection Required before Delivery,Yêu cầu kiểm tra trước khi giao hàng,
Inspection Required before Purchase,Yêu cầu kiểm tra trước khi mua hàng,
Inspection Submission,Nộp kết quả kiểm tra,
Inspection Type,Loại kiểm tra,
Installation Date,Ngày lắp đặt,
Installation date cannot be before delivery date for Item {0},Ngày lắp đặt không được trước ngày giao hàng cho mặt hàng {0},
Installation Note,Ghi chú lắp đặt,
Installation Note {0} has already been submitted,Ghi chú lắp đặt {0} đã được nộp,
Installation Note Item,Mặt hàng Ghi chú lắp đặt,
Installation Status,Trạng thái lắp đặt,
Installation Time,Thời gian lắp đặt,
Installed Qty,SL đã lắp đặt,
Installing presets,Đang cài đặt cấu hình mẫu,
Instruction,Hướng dẫn,
Insufficient Capacity,Không đủ công suất,
Insufficient Permissions,Không đủ quyền,
Insufficient Stock,Không đủ tồn kho,
Insufficient Stock for Batch,Không đủ tồn kho cho lô,
Insufficient Stock for Product Bundle Items,Không đủ tồn kho cho các mặt hàng trong Gói sản phẩm,
Insurance,Bảo hiểm,
Insurance Company,Công ty bảo hiểm,
Insurance Details,Chi tiết bảo hiểm,
Insurance End Date,Ngày kết thúc bảo hiểm,
Insurance Start Date,Ngày bắt đầu bảo hiểm,
Insurance Start date should be less than Insurance End date,Ngày bắt đầu bảo hiểm phải trước Ngày kết thúc bảo hiểm,
Insured value,Giá trị bảo hiểm,
Insurer,Bên bảo hiểm,
Integration Details,Chi tiết tích hợp,
Integration ID,Mã tích hợp,
Inter Company Invoice Reference,Tham chiếu hoá đơn liên công ty,
Inter Company Journal Entry,Bút toán liên công ty,
Inter Company Journal Entry Reference,Tham chiếu bút toán liên công ty,
Inter Company Order Reference,Tham chiếu đơn hàng liên công ty,
Inter Company Purchase Order,Đơn mua hàng liên công ty,
Inter Company Reference,Tham chiếu liên công ty,
Inter Company Sales Order,Đơn bán hàng liên công ty,
Inter Transfer Reference,Tham chiếu chuyển kho nội bộ,
Inter Warehouse Transfer Settings,Cài đặt chuyển kho nội bộ,
Interest,Lãi,
Interest and/or dunning fee,Lãi và/hoặc phí đôn đốc thanh toán,
Interest Expense,Chi phí lãi vay (TK 635),
Interest Income,Thu nhập lãi,
Interest on Fixed Deposits,Lãi tiền gửi có kỳ hạn,
Interested,Quan tâm,
Internal,Nội bộ,
Internal Customer,Khách hàng nội bộ,
Internal Customer Accounting,Kế toán khách hàng nội bộ,
Internal Customer for company {0} already exists,Khách hàng nội bộ cho công ty {0} đã tồn tại,
Internal Purchase Order,Đơn mua hàng nội bộ,
Internal Sale or Delivery Reference missing.,Thiếu tham chiếu bán hàng hoặc giao hàng nội bộ.,
Internal Sales Order,Đơn bán hàng nội bộ,
Internal Sales Reference Missing,Thiếu tham chiếu bán hàng nội bộ,
Internal Supplier,Nhà cung cấp nội bộ,
Internal Supplier Accounting,Kế toán nhà cung cấp nội bộ,
Internal Supplier for company {0} already exists,Nhà cung cấp nội bộ cho công ty {0} đã tồn tại,
Internal Transfer,Chuyển nội bộ,
Internal Transfer Reference Missing,Thiếu tham chiếu chuyển kho nội bộ,
Internal Transfers,Chuyển kho nội bộ,
Internal transfers can only be done in company's default currency,Chuyển nội bộ chỉ được thực hiện bằng tiền tệ mặc định của công ty,
Internal Work History,Lịch sử công việc nội bộ,
Internet Publishing,Xuất bản trực tuyến,
Interval should be between 1 to 59 MInutes,Khoảng thời gian phải từ 1 đến 59 phút,
Invalid {0},{0} không hợp lệ,
Invalid {0} for Inter Company Transaction.,{0} không hợp lệ cho giao dịch liên công ty.,
Invalid {0}: {1},{0} không hợp lệ: {1},
Invalid Account,Tài khoản không hợp lệ,
Invalid Accounting Dimension,Chiều kế toán không hợp lệ,
Invalid Allocated Amount,Số tiền phân bổ không hợp lệ,
Invalid Amount,Số tiền không hợp lệ,
Invalid amount in accounting entries of {} {} for Account {}: {},Số tiền không hợp lệ trong bút toán kế toán của {} {} cho Tài khoản {}: {},
Invalid Attribute,Thuộc tính không hợp lệ,
Invalid Auto Repeat Date,Ngày lặp tự động không hợp lệ,
Invalid Barcode. There is no Item attached to this barcode.,Mã vạch không hợp lệ. Không có mặt hàng gắn với mã vạch này.,
Invalid Blanket Order for the selected Customer and Item,Đơn hàng khung không hợp lệ cho khách hàng và mặt hàng đã chọn,
Invalid Child Procedure,Quy trình con không hợp lệ,
Invalid Company Field,Trường công ty không hợp lệ,
Invalid Company for Inter Company Transaction.,Công ty không hợp lệ cho giao dịch liên công ty.,
Invalid condition expression,Biểu thức điều kiện không hợp lệ,
Invalid Cost Center,Trung tâm chi phí không hợp lệ,
Invalid CSV format. Expected column: doctype_name,Định dạng CSV không hợp lệ. Cột yêu cầu: doctype_name,
Invalid Customer Group,Nhóm khách hàng không hợp lệ,
Invalid Delivery Date,Ngày giao hàng không hợp lệ,
Invalid Discount,Chiết khấu không hợp lệ,
Invalid Discount Amount,Tiền chiết khấu không hợp lệ,
Invalid Document,Tài liệu không hợp lệ,
Invalid Document Type,Loại tài liệu không hợp lệ,
Invalid file URL,URL tệp không hợp lệ,
Invalid filter formula. Please check the syntax.,Công thức lọc không hợp lệ. Vui lòng kiểm tra cú pháp.,
Invalid Formula,Công thức không hợp lệ,
Invalid Group By,Nhóm theo không hợp lệ,
Invalid Item,Mặt hàng không hợp lệ,
Invalid Item Defaults,Giá trị mặc định mặt hàng không hợp lệ,
"Invalid lost reason {0}, please create a new lost reason","Lý do mất không hợp lệ {0}, vui lòng tạo lý do mất mới",
Invalid naming series (. missing) for {0},Chuỗi đặt tên không hợp lệ (thiếu dấu chấm) cho {0},
Invalid Net Purchase Amount,Tiền mua thuần không hợp lệ,
Invalid Opening Entry,Phiếu số dư đầu kỳ không hợp lệ,
Invalid parameter. 'dn' should be of type str,Tham số không hợp lệ. 'dn' phải có kiểu str,
Invalid Parent Account,TK cha không hợp lệ,
Invalid Part Number,Mã linh kiện không hợp lệ,
Invalid POS Invoices,Hoá đơn POS không hợp lệ,
Invalid Posting Time,Thời gian hạch toán không hợp lệ,
Invalid Primary Role,Vai trò chính không hợp lệ,
Invalid Print Format,Mẫu in không hợp lệ,
Invalid Priority,Mức ưu tiên không hợp lệ,
Invalid Process Loss Configuration,Cấu hình hao hụt quy trình không hợp lệ,
Invalid Purchase Invoice,Hoá đơn mua hàng không hợp lệ,
Invalid Qty,SL không hợp lệ,
Invalid Quantity,Số lượng không hợp lệ,
Invalid Query,Truy vấn không hợp lệ,
Invalid reference {0} {1},Tham chiếu không hợp lệ {0} {1},
Invalid result key. Response:,Khoá kết quả không hợp lệ. Phản hồi:,
Invalid Return,Trả hàng không hợp lệ,
Invalid Sales Invoices,Hoá đơn bán hàng không hợp lệ,
Invalid Schedule,Lịch không hợp lệ,
Invalid search query,Truy vấn tìm kiếm không hợp lệ,
Invalid Selling Price,Giá bán không hợp lệ,
Invalid Serial and Batch Bundle,Gói số sê-ri và lô hàng không hợp lệ,
Invalid Source and Target Warehouse,Kho xuất và kho nhập không hợp lệ,
Invalid Value,Giá trị không hợp lệ,
Invalid value {0} for {1} against account {2},Giá trị không hợp lệ {0} cho {1} đối ứng tài khoản {2},
Invalid Warehouse,Kho không hợp lệ,
Inventory,Tồn kho,
Inventory Account Currency,Tiền tệ tài khoản tồn kho,
Inventory Dimension,Chiều quản lý kho,
Inventory Dimension key,Khoá chiều quản lý kho,
Inventory Dimension Negative Stock,Tồn kho âm theo chiều quản lý kho,
Inventory Settings,Cài đặt tồn kho,
Inventory Turnover Ratio,Hệ số vòng quay hàng tồn kho,
Inventory Valuation,Phương pháp tính giá xuất kho,
Investment Banking,Ngân hàng đầu tư,
Investments,Đầu tư,
Invite Users,Mời người dùng,
Invoice already created for all billing hours,Đã tạo hoá đơn cho toàn bộ giờ tính phí,
Invoice and Billing,Hoá đơn và thanh toán,
Invoice can't be made for zero billing hour,Không thể lập hoá đơn cho giờ tính phí bằng không,
Invoice Cancellation,Huỷ hoá đơn,
Invoice Discounting,Chiết khấu hoá đơn,
Invoice Document Type Selection Error,Lỗi chọn loại tài liệu hoá đơn,
Invoice Grand Total,Tổng cộng hoá đơn,
Invoice ID,Mã hoá đơn,
Invoice Limit,Giới hạn hoá đơn,
Invoice Paid,Hoá đơn đã thanh toán,
Invoice Portion,Tỷ lệ hoá đơn,
Invoice Portion (%),Tỷ lệ hoá đơn (%),
Invoice Posting Date,Ngày hạch toán hoá đơn,
Invoice Series,Sê-ri hoá đơn,
Invoice Status,Trạng thái hoá đơn,
Invoice Type,Loại hoá đơn,
Invoice Type Created via POS Screen,Loại hoá đơn tạo qua màn hình POS,
Invoiced Amount,Số tiền đã xuất hoá đơn,
Invoiced Qty,SL đã xuất hoá đơn,
Invoices,Hoá đơn,
Invoices and Payments have been Fetched and Allocated,Hoá đơn và thanh toán đã được tải và phân bổ,
Invoicing,Xuất hoá đơn,
Invoicing Features,Tính năng xuất hoá đơn,
Inward,Nhập vào,
Inward Order,Đơn nhập,
Is a Subscription,Là gói đăng ký,
Is Account Payable,Là tài khoản phải trả,
Is Additional Item,Là mặt hàng bổ sung,
Is Additional Transfer Entry,Là phiếu chuyển kho bổ sung,
Is Adjustment Entry,Là phiếu điều chỉnh,
Is Advance,Là khoản tạm ứng,
Is Alternative,Là mặt hàng thay thế,
Is Billable,Có tính phí,
Is Cancelled,Đã huỷ,
Is Cash or Non Trade Discount,Là chiết khấu tiền mặt hoặc ngoài thương mại,
Is Company,Là công ty,
Is Company Account,Là tài khoản công ty,
Is Composite Asset,Là tài sản tổ hợp,
Is Composite Component,Là thành phần tổ hợp,
Is Consolidated,Đã hợp nhất,
Is Container,Là thùng/container,
Is Corrective Job Card,Là phiếu công việc sửa lỗi,
Is Corrective Operation,Là thao tác sửa lỗi,
Is created using POS,Tạo qua POS,
Is Cumulative,Luỹ kế,
Is Customer Provided Item,Là hàng do khách hàng cung cấp,
Is Default Account,Là tài khoản mặc định,
Is Default Language,Là ngôn ngữ mặc định,
Is Delivery Note Required for Sales Invoice Creation?,Có bắt buộc Phiếu giao hàng khi tạo Hoá đơn bán hàng?,
Is Discounted,Đã chiết khấu,
Is Exchange Gain / Loss?,Là lãi/lỗ chênh lệch tỷ giá?,
Is Existing Asset,Là tài sản hiện có,
Is Expandable,Có thể mở rộng,
Is Final Finished Good,Là thành phẩm cuối cùng,
Is Finished Item,Là thành phẩm,
Is Fixed Asset,Là tài sản cố định,
Is Free Item,Là hàng tặng,
Is Frozen,Đã đóng băng,
Is Fully Depreciated,Đã khấu hao hết,
Is Group Warehouse,Là nhóm kho,
Is Half Day,Nửa ngày,
Is Internal Customer,Là khách hàng nội bộ,
Is Internal Supplier,Là nhà cung cấp nội bộ,
Is Legacy,Là dữ liệu cũ,
Is Legacy Scrap Item,Là phế liệu (dữ liệu cũ),
Is Mandatory,Bắt buộc,
Is Milestone,Là cột mốc,
Is Old Subcontracting Flow,Là luồng gia công ngoài cũ,
Is Opening,Là số dư đầu kỳ,
Is Opening Entry,Là phiếu số dư đầu kỳ,
Is Outward,Là xuất,
Is Packed,Đã đóng gói,
Is Paid,Đã thanh toán,
Is Paused,Đã tạm dừng,
Is Period Closing Voucher Entry,Là bút toán chứng từ đóng kỳ,
Is Phantom BOM,Là BOM ảo,
Is Phantom Item,Là hàng ảo,
Is Purchase Order Required for Purchase Invoice & Receipt Creation?,Có bắt buộc Đơn mua hàng khi tạo Hoá đơn mua và Phiếu nhập?,
Is Purchase Receipt Required for Purchase Invoice Creation?,Có bắt buộc Phiếu nhập khi tạo Hoá đơn mua hàng?,
Is Rate Adjustment Entry (Debit Note),Là bút toán điều chỉnh đơn giá (Hoá đơn điều chỉnh tăng),
Is Recursive,Đệ quy,
Is Rejected,Đã từ chối,
Is Rejected Warehouse,Là kho hàng từ chối,
Is Return,Là trả hàng,
Is Return (Credit Note),Là trả hàng (Hoá đơn điều chỉnh giảm),
Is Return (Debit Note),Là trả hàng (Hoá đơn điều chỉnh tăng),
Is Sales Order Required for Sales Invoice & Delivery Note Creation?,Có bắt buộc Đơn bán hàng khi tạo Hoá đơn bán hàng và Phiếu giao hàng?,
Is Scrap Item,Là phế liệu,
Is Short/Long Year,Là năm ngắn/dài,
Is Stock Item,Là hàng tồn kho,
Is Sub Assembly Item,Là cụm lắp ráp,
Is Subcontracted Item,Là hàng gia công ngoài,
Is Tax Withholding Account,Là tài khoản khấu trừ thuế,
Is Template,Là mẫu,
Is this Tax included in Basic Rate?,Thuế này đã tính vào đơn giá cơ bản chưa?,
Is Transporter,Là đơn vị vận chuyển,
ISBN,ISBN,
ISBN-10,ISBN-10,
ISBN-13,ISBN-13,
ISSN,ISSN,
Issue a debit note with 0 qty against an existing Sales Invoice,Phát hành hoá đơn điều chỉnh tăng với SL 0 cho Hoá đơn bán hàng hiện có,
Issue Credit Note,Xuất hoá đơn điều chỉnh giảm,
Issue Date,Ngày phát sinh,
Issue Material,Xuất vật tư,
Issue Priority,Mức ưu tiên sự cố,
